컷,장면,장면제목,시작(초),끝(초),길이(초),스타일,대본,자막,화면구성,이미지프롬프트,사용이미지
17,2,"산, 없던 숲을 만든 나라",110.16,118.08,7.92,P,"그때 우리 산에 서 있던 나무의 양을 1이라고 치면, 지금은 29입니다. 29배예요.",1 → 29,"숫자 1이 29로 커지는 카운터, 배경은 같은 산의 좌우 분할","Split-screen before and after of the same Korean hillside, left half barren brown eroded slope in faded sepia, right half the identical slope covered in thick green pine forest today, seamless center line",
18,2,"산, 없던 숲을 만든 나라",118.08,129.06,10.99,I,"헥타르당 나무 부피로 따지면 165세제곱미터인데, OECD 평균이 131이에요. 우리가 평균을 넘어섰다는 거예요.",한국 165 / OECD 평균 131,막대그래프 165 대 131,"Two vertical bar chart columns made of stacked tree trunks, the taller one glowing green, the shorter one gray",
19,2,"산, 없던 숲을 만든 나라",129.06,137.87,8.80,L,어떻게 했을까요. 1973년에 정부가 치산녹화 10개년 계획이라는 걸 세웁니다.,"1973년, 치산녹화 10개년 계획",1970년대 녹화 포스터 느낌 그래픽,"1970s Korean government poster style illustration of citizens planting trees on a hillside, bold retro colors, slightly faded paper texture",
20,2,"산, 없던 숲을 만든 나라",137.87,147.98,10.11,I,"목표는 딱 하나, 전 국토의 녹화. 산림청을 내무부 밑으로 옮겨서 전국 행정조직을 전부 나무 심는 데 동원했어요.",전 국토의 녹화,지도 위에 조림 구역이 시군 단위로 퍼져 나감,"Map of South Korea with small green dots spreading outward from cities until the whole country is covered, animation still",
21,2,"산, 없던 숲을 만든 나라",147.98,152.66,4.68,P,그리고 진짜 중요한 걸 같이 했어요. 연탄이에요.,연탄,연탄 클로즈업,"Close-up of a single black cylindrical Korean coal briquette with nineteen holes, resting on gray concrete, soft side light",
22,2,"산, 없던 숲을 만든 나라",152.66,161.31,8.65,P,나무를 못 베게 막기만 하면 사람들은 얼어 죽어요. 그래서 무연탄을 대량으로 캐서 농촌까지 보급했어요.,무연탄 대량 보급,"탄광 갱도, 이어서 연탄 배달 리어카","Stacks of black coal briquettes piled in a narrow 1970s Korean alley, a wooden delivery cart, soft winter light",
23,2,"산, 없던 숲을 만든 나라",161.31,165.00,3.69,P,땔감이 필요 없어지니까 산이 살아난 거예요.,자막 없음,민둥산에 어린 묘목이 줄지어 자라는 장면,"Rows of knee-high young pine seedlings on a formerly bare Korean hillside, fresh green against brown soil, spring light",
24,2,"산, 없던 숲을 만든 나라",165.00,175.36,10.36,I,10년 계획이었는데 6년 만인 1978년에 목표를 넘겼어요. 108만 헥타르에 나무를 심었습니다.,"1978년 조기 달성, 108만 헥타르","타임라인 1973에서 1978, 목표 108퍼센트 달성 그래픽",Simple timeline bar from 1973 to 1982 with a glowing marker stopping early at 1978 and a filled progress bar overshooting its target,
25,2,"산, 없던 숲을 만든 나라",175.36,184.01,8.66,P,1973년부터 2013년까지 심은 나무를 다 합치면 65억 그루예요.,65억 그루,"수백 명이 산비탈에 줄지어 묘목 심는 모습, 카운터 65억","Hundreds of people in 1970s Korean work clothes planting tiny pine seedlings in neat rows across a bare hillside, wide shot, overcast sky, documentary photograph feel",
26,2,"산, 없던 숲을 만든 나라",184.01,188.45,4.44,I,국민 한 사람당 130그루씩 심은 셈이에요.,1인당 130그루,한 사람 실루엣 옆에 나무 130그루가 채워짐,"Single human silhouette beside a dense cluster of small tree icons filling the frame, simple scale comparison",
27,2,"산, 없던 숲을 만든 나라",188.45,192.34,3.88,P,유엔 식량농업기구가 이렇게 평가했어요.,유엔 식량농업기구,"유엔 회의장 느낌, 연단과 마이크","Empty speaker podium with microphones in a large international assembly hall, soft formal lighting, shallow focus",
28,2,"산, 없던 숲을 만든 나라",192.34,199.64,7.31,I,2차 세계대전 이후 황폐해진 산림을 완전히 복구한 나라는 지구상에 한국 하나뿐이라고.,"전후 산림 복구 성공, 세계 유일",세계지도에 한국만 초록으로 켜짐,"World map in dim gray with only South Korea glowing bright green, subtle radiating rings",
29,2,"산, 없던 숲을 만든 나라",199.64,207.32,7.68,P,미국도 러시아도 숲이 넓죠. 근데 그건 원래 있던 거고요. 우리는 없던 걸 만들어낸 거예요.,원래 있던 숲 / 만들어낸 숲,"시베리아 원시림 항공, 이어서 한국 인공림 항공 대비","Aerial view of endless untouched Siberian taiga forest stretching to the horizon, cold blue light",
30,2,"산, 없던 숲을 만든 나라",207.32,211.50,4.18,P,이 차이는 뒤에서 다시 얘기할 거니까 기억해 두세요.,기억해 두세요,카메라가 숲 위로 상승,"Camera rising above a thick green Korean pine forest canopy into golden morning light, endless ridgelines behind",
31,3,"물, 20억 년 화강암이 걸러낸 물",211.50,221.94,10.44,P,"다음은 물이에요. 우리나라 연평균 강수량이 1,300밀리미터입니다. 세계 평균의 1.6배예요. 비가 많이 오는 나라예요.","연 1,300밀리미터, 세계 평균 1.6배",장마철 산에 비 쏟아지는 슬로모션,"Heavy monsoon rain falling on a misty Korean mountain forest, slow motion raindrops, dark green foliage glistening, moody atmospheric light",
32,3,"물, 20억 년 화강암이 걸러낸 물",221.94,225.87,3.93,P,그리고 이 비가 화강암과 편마암 위로 떨어져요.,"화강암, 편마암",빗물이 화강암 바위 표면을 타고 흐름,"Rain streaming down a rounded pale granite boulder in a Korean mountain stream, wet stone texture, overcast light, macro",
33,3,"물, 20억 년 화강암이 걸러낸 물",225.87,235.11,9.24,I,"한반도의 기반암 중에는 20억 년 가까이 된 아주 오래되고 단단한 암석이 있는데, 이게 천연 필터 역할을 해요.",약 20억 년,"지질 단면 그래픽, 화강암 편마암 층","Geological cross-section illustration of layered ancient bedrock, granite and gneiss bands, rainwater seeping down through fine cracks",
34,3,"물, 20억 년 화강암이 걸러낸 물",235.11,239.76,4.65,P,빗물이 바위 틈을 천천히 지나면서 걸러지는 거예요.,자막 없음,바위 틈으로 물이 스며 나오는 매크로,"Extreme close-up of pale granite rock face with crystal clear water seeping through a crack and dripping, moss patches, sunlight catching each droplet, macro photography",
35,3,"물, 20억 년 화강암이 걸러낸 물",239.76,245.53,5.77,P,그래서 우리나라 산에서 나오는 물이 그냥 마셔도 될 정도로 깨끗한 거예요.,자막 없음,"계곡의 맑은 물, 바닥 자갈이 보임","Crystal clear mountain stream over smooth pebbles, water so transparent the stones are sharply visible, dappled forest light",
36,3,"물, 20억 년 화강암이 걸러낸 물",245.53,250.54,5.01,P,"산마다 약수터가 있는 나라, 생각보다 흔하지 않습니다.",산마다 약수터,"산속 약수터, 바가지로 물 받는 손","Traditional Korean mountain spring with water flowing from a stone spout into a small basin, a hand holding a wooden ladle catching the water, dappled forest light",
37,3,"물, 20억 년 화강암이 걸러낸 물",250.54,256.23,5.69,P,유럽 여행 가서 수돗물 석회 때문에 고생해 본 분들은 아실 거예요.,석회,"유럽식 세면대 수도꼭지의 석회 자국, 전기포트 바닥 석회","Close-up of a chrome European bathroom faucet crusted with white limescale deposits, hard water stains on the sink, harsh bathroom light",
38,3,"물, 20억 년 화강암이 걸러낸 물",256.23,265.58,9.35,I,여기서 하나 바로잡을게요. 인터넷에 한국 수돗물 UN 세계 8위라는 말이 많이 돌아요. 이거 정확하지 않습니다.,수돗물 UN 8위? 정확하지 않음,인터넷 게시글 그래픽에 빨간 취소선,"Stylized social media post card graphic with a large red diagonal strike-through line across it, floating on a dark background",
39,3,"물, 20억 년 화강암이 걸러낸 물",265.58,275.64,10.06,P,"2003년 유네스코 보고서에 나온 수질 관리 종합 순위고, 마시는 물 순위가 아니에요. 20년도 더 된 자료예요.",2003년 수질관리 종합 순위,"2003 보고서 표지 이미지, 먼지 쌓인 문서","Old paper report cover stamped with the year 2003, dusty and slightly yellowed, lying on a dark desk under a single lamp",
40,3,"물, 20억 년 화강암이 걸러낸 물",275.64,279.53,3.89,I,이 영상에서는 확인된 것만 말씀드릴게요.,확인된 것만,체크마크 그래픽,"A single clean glowing checkmark inside a thin circle, centered, minimal",
41,4,"자리, 사계절과 조용한 땅",279.53,285.62,6.09,I,이 땅이 어디에 놓여 있는지도 봐야 해요. 한반도는 중위도 온대 기후대에 있어요.,중위도 온대,"지구 위 온대 띠 하이라이트, 한반도 위치","Globe view centered on East Asia with a soft horizontal band highlighting the temperate mid-latitudes, the Korean Peninsula inside the band",
42,4,"자리, 사계절과 조용한 땅",285.62,288.78,3.16,P,봄 여름 가을 겨울이 다 뚜렷하죠.,사계절,같은 산골 마을 사계절 4분할,"Four-panel grid of the same Korean mountain village in spring blossoms, summer green, autumn red maples, and winter snow, matching camera angle",
43,4,"자리, 사계절과 조용한 땅",288.78,296.52,7.74,I,이게 당연한 게 아니에요. 지구상에 사계절이 이렇게 또렷한 땅은 생각보다 좁은 띠 안에만 있어요.,좁은 띠,세계지도에 사계절 뚜렷한 지역만 좁은 띠로 표시,"World map with only a thin mid-latitude band lit in warm gradient colors, tropics and polar regions dimmed",
44,4,"자리, 사계절과 조용한 땅",296.52,307.08,10.56,I,그리고 재해요. 독일 구호단체가 매년 193개 나라의 자연재해 위험도를 계산해서 발표하는 세계위험지수라는 게 있어요.,"세계위험지수, 193개국",세계 위험도 색상 지도,"World map heat-map of disaster risk, deep red high-risk zones in Southeast Asia fading to cool green low-risk regions",
45,4,"자리, 사계절과 조용한 땅",307.08,312.17,5.09,I,"지진, 태풍, 홍수, 가뭄 위험을 다 합친 거예요.",지진 / 태풍 / 홍수 / 가뭄,네 가지 재해 아이콘,"Four minimal icons in a row, cracked ground, spiral storm, wave over house, dry sun, glowing softly",
46,4,"자리, 사계절과 조용한 땅",312.17,320.10,7.93,I,"1위가 필리핀이에요. 4년 연속이요. 옆 나라 일본은 17위, 미국은 21위.","필리핀 1위, 일본 17위, 미국 21위",순위표 애니메이션,"Vertical ranking list graphic with three highlighted rows near the top, glowing markers, minimal",
47,4,"자리, 사계절과 조용한 땅",320.10,330.75,10.64,I,"한국은요, 49위예요. 화산도 없고, 환태평양 지진대에서도 벗어나 있어요. 한반도는 유라시아판 안쪽에 있거든요.","한국 49위, 유라시아판 내부","판 경계 지도, 한반도가 판 안쪽에 위치","Tectonic plate map of East Asia with the Pacific Ring of Fire glowing red along Japan and the Philippines, the Korean Peninsula sitting calmly inside the Eurasian plate",
48,4,"자리, 사계절과 조용한 땅",330.75,335.39,4.64,P,태풍은 오지만 필리핀이나 일본이 한 번 걸러준 뒤에 와요.,이웃이 먼저 걸러주는 자리,"위성 태풍 경로, 필리핀과 일본을 지나 약해짐","Satellite view of a massive typhoon spiraling over the western Pacific, its path curving past the Philippines and Japan toward Korea, dramatic cloud swirl",
49,4,"자리, 사계절과 조용한 땅",335.39,345.52,10.13,P,물론 홍수랑 폭우는 있어요. 그래도 이웃 나라들이랑 비교하면 확실히 조용한 자리예요. 이것도 뒤에서 한 번 더 다룰게요.,조용한 자리,"장마철 불어난 한강, 이어서 잔잔한 시골 풍경","Calm Korean countryside at dusk, rice paddies reflecting a pastel sky, distant low mountains, still and quiet",
50,5,"동해, 미니 대양",345.52,349.81,4.30,P,이제 바다로 가볼게요. 여기서부터가 진짜예요.,자막 없음,파도가 해안 절벽을 치는 광각,"Wide shot of dark blue waves crashing against rocky Korean coastal cliffs, spray in the air, dramatic overcast light",
51,5,"동해, 미니 대양",349.81,357.84,8.02,I,"우리나라는 삼면이 바다잖아요. 그건 다 아는데, 이 세 바다가 완전히 다른 바다라는 건 잘 모르시죠.","동해, 서해, 남해","한반도 지도, 동해 서해 남해가 다른 색으로 물듦","Map of the Korean Peninsula surrounded by three seas each tinted a distinctly different shade, deep indigo east, pale turquoise west, teal south",
52,5,"동해, 미니 대양",357.84,367.30,9.47,I,"동해요. 평균 수심이 1,684미터예요. 가장 깊은 곳은 3,762미터.","평균 1,684미터, 최대 3,762미터",동해 단면도 깊이 그래픽,"Cross-section diagram of the East Sea showing dramatic depth, deep blue gradient darkening downward to near black",
53,5,"동해, 미니 대양",367.30,370.66,3.36,I,서울 남산을 열세 개 쌓아도 안 닿아요.,남산 13개,남산 실루엣 13개가 쌓여도 바닥에 못 닿음,"Column of thirteen tiny stacked mountain silhouettes with a tower on top inside a deep blue sea cross-section, not reaching the seabed",
54,5,"동해, 미니 대양",370.66,376.41,5.75,I,동해 바닷물의 89퍼센트가 수심 200미터보다 아래에 있어요.,89퍼센트가 200미터 아래,수심 200미터 선 아래가 89퍼센트로 채워지는 그래픽,Tall vertical water column graphic with a thin line near the top marking 200 meters and the vast dark region below filling in,
55,5,"동해, 미니 대양",376.41,386.34,9.93,I,"왜 이렇게 됐을까요. 동해는 바깥 바다로 나가는 출구가 네 개밖에 없어요. 대한해협, 쓰가루, 소야, 타타르.",출구 4개,동해 지도에 네 해협 표시,"Map of the East Sea basin enclosed by Korea, Japan and Russia, four narrow straits marked with small glowing gaps",
56,5,"동해, 미니 대양",386.34,395.71,9.37,I,그런데 이 출구가 전부 폭이 좁고 수심이 200미터도 안 돼요. 그러니까 200미터 아래 깊은 물은 밖으로 못 나가요.,모두 수심 200미터 미만,"해협 단면, 얕은 문턱 그래픽","Side-view diagram of a shallow underwater sill at a strait, deep water on one side unable to pass over the raised threshold",
57,5,"동해, 미니 대양",395.71,398.71,3.01,I,거대한 그릇에 갇혀 있는 거예요.,거대한 그릇,그릇 모양 단면에 심층수가 갇힌 모습,"Stylized bowl-shaped cross-section of the East Sea basin, four narrow shallow openings at the rim, deep dark water trapped inside",
58,5,"동해, 미니 대양",398.71,403.05,4.34,P,그래서 해양학자들은 동해를 미니 대양이라고 불러요.,미니 대양,"동해 수중, 빛이 사라지는 심연","Underwater view descending from sunlit surface into pitch black abyss of the East Sea, shafts of light fading, particles drifting, vast and silent",
59,5,"동해, 미니 대양",403.05,410.28,7.22,I,태평양 같은 큰 바다에서 일어나는 심층수 순환이 동해 안에서도 똑같이 일어나거든요.,심층수 순환,표층에서 심층으로 내려가는 화살표 애니메이션,"Ocean circulation diagram, cold surface water sinking at the north, flowing along the seabed and rising again, looping arrows in blue",
60,5,"동해, 미니 대양",410.28,416.97,6.70,P,"표층의 물이 겨울에 차가워져서 가라앉고, 바닥을 돌아서 다시 올라오는 순환이요.",자막 없음,"겨울 동해 표면, 눈보라, 차가운 바다","Winter East Sea surface in a snowstorm, steel gray water with white caps, snow blowing sideways, bitterly cold atmosphere",
61,5,"동해, 미니 대양",416.97,424.37,7.40,I,"다른 대양은 이 순환이 천 년에서 이천 년 걸리는데, 동해는 백 년이면 한 바퀴 돌아요.","대양 1,000~2,000년 / 동해 100년","두 개의 원형 타이머, 2000년 대 100년","Two circular clock-like rings side by side, a huge slow ring and a small fast ring, glowing blue",
62,5,"동해, 미니 대양",424.37,428.18,3.81,I,"게다가 남쪽은 아열대, 북쪽은 아한대예요.","남쪽 아열대, 북쪽 아한대","동해 지도 남북 색 그라데이션, 따뜻한 남쪽 차가운 북쪽",Map of the East Sea with a vertical gradient from warm orange in the south to icy blue in the north,
63,5,"동해, 미니 대양",428.18,435.28,7.10,I,지구 바다에서 일어나는 일을 스무 배 빠른 속도로 보여주는 축소판이 우리 집 앞에 있는 거예요.,지구 바다의 축소판,"지구와 동해를 나란히, 축소판 비유","Small glowing model of the East Sea basin floating beside a dim full globe, scale comparison, minimal",
64,5,"동해, 미니 대양",435.28,440.92,5.64,P,그래서 전 세계 해양학자들이 기후변화 연구하려고 동해로 옵니다.,자막 없음,"해양조사선 갑판, 관측장비 내리는 연구원","Ocean research vessel on the open East Sea at dawn, scientists on deck lowering a cylindrical CTD instrument into dark water, cold steel gray sky",
65,6,"서해, 9미터 조차와 세계 최대 조력발전",440.92,450.50,9.58,I,서해는 정반대예요. 평균 수심이 40미터 정도. 얕아요. 동해 평균 수심의 40분의 1이에요.,"평균 수심 약 40미터, 동해의 40분의 1",동해와 서해 수심 비교 막대,"Two vertical depth bars side by side, one extremely tall and dark, one tiny and pale, labeled by color only",
66,6,"서해, 9미터 조차와 세계 최대 조력발전",450.50,454.29,3.79,P,대신 물이 하루에 두 번 엄청나게 들고 나가요.,하루 두 번,서해 갯벌 조수 타임랩스,"Time-lapse style wide shot of the West Sea coast, tide receding to reveal vast mud flats then rushing back, dramatic sky, long shadows",
67,6,"서해, 9미터 조차와 세계 최대 조력발전",454.29,458.28,3.98,P,인천 앞바다 조차가 최대 9미터가 넘어요.,인천 조차 최대 9미터,부두 기둥 만조와 간조 비교,"Same harbor pier pillar shown at high tide with water near the top and at low tide fully exposed with barnacles, side by side, overcast coastal light",
68,6,"서해, 9미터 조차와 세계 최대 조력발전",458.28,463.05,4.78,I,3층 건물 높이만큼 바다가 오르락내리락하는 거예요.,3층 건물 높이,3층 건물 실루엣과 물 높이 겹치기,"Silhouette of a three-story building beside a rising column of seawater reaching its roofline, simple scale comparison",
69,6,"서해, 9미터 조차와 세계 최대 조력발전",463.05,470.82,7.77,P,추석 무렵 슈퍼문이 뜨면 10미터까지 벌어져요. 세계적으로 조차가 큰 바다로 꼽혀요.,슈퍼문 10미터,바다 위 거대한 보름달,"Enormous full supermoon rising over a dark calm West Sea horizon, moonlight path on the water, fishing boats silhouetted",
70,6,"서해, 9미터 조차와 세계 최대 조력발전",470.82,476.58,5.77,P,"이 힘으로 뭘 하냐면, 시화호에 세계 최대 조력발전소를 돌려요.","시화호 조력발전소, 세계 최대",시화호 조력발전소 항공 뷰,"Aerial view of Sihwa Lake tidal power station, long straight seawall with ten turbine gates, seawater rushing through in white foam, golden hour",
71,6,"서해, 9미터 조차와 세계 최대 조력발전",476.58,485.43,8.85,P,"254메가와트, 1년에 552기가와트시. 인구 50만 도시 하나가 쓰는 전기예요.","254메가와트, 연 552기가와트시, 인구 50만 도시",수문 클로즈업에서 도시 야경으로 디졸브,"Night aerial view of a mid-sized Korean city lighting up block by block, warm window lights spreading outward, viewed from high above",
72,6,"서해, 9미터 조차와 세계 최대 조력발전",485.43,489.06,3.63,P,바닷물이 밀려오고 빠져나가는 것만으로요.,자막 없음,수문 통과하는 물살 클로즈업,"Close-up of turbulent seawater surging through a massive concrete tidal gate, white foam and spray, powerful motion",
73,6,"서해, 9미터 조차와 세계 최대 조력발전",489.06,498.73,9.67,P,원래 시화호는 1990년대에 방조제로 막았다가 물이 썩어서 시궁창 냄새가 난다고 전국 뉴스에 나오던 곳이에요.,"1990년대, 오염된 시화호",1990년대 뉴스 화면 느낌의 오염된 호수,"Murky greenish polluted lake surface with foam and dead fish near a concrete embankment, 1990s news footage look, grainy",
74,6,"서해, 9미터 조차와 세계 최대 조력발전",498.73,508.65,9.92,P,"그걸 수문을 열고 발전소를 얹어서 1년에 바닷물 1억 4,500만 톤을 안팎으로 갈아 넣는 정화 장치로 바꿨어요.","연 1억 4,500만 톤 해수 순환","현재 맑아진 시화호, 수문 열린 모습","Clear blue water of Sihwa Lake today with open tidal gates in the distance, gulls flying, clean bright daylight",
75,6,"서해, 9미터 조차와 세계 최대 조력발전",508.65,511.28,2.63,P,이 얘기도 나중에 다시 나옵니다.,자막 없음,시화호 방조제 위 도로 드라이브 뷰,"Driving view along a long straight seawall road with sea on one side and lake on the other, late afternoon light",
76,7,"남해, 두 해류가 만드는 세계 최고 밀도",511.28,520.66,9.38,I,"남해는 또 달라요. 남쪽에서 따뜻한 대마난류가 올라오고, 북쪽에서 차가운 북한한류가 내려와서 여기서 만나요.","대마난류, 북한한류",지도 위 주황 난류와 파랑 한류 충돌,"Ocean current map illustration, a warm orange current sweeping up from the south and a cold blue current flowing down from the north colliding and swirling around the southern coast of Korea",
77,7,"남해, 두 해류가 만드는 세계 최고 밀도",520.66,525.00,4.34,P,계절마다 어느 쪽이 세냐에 따라 바다 성격이 바뀌어요.,자막 없음,"남해 다도해 항공, 섬 사이 물빛","Aerial view of the South Sea archipelago of Korea, dozens of small green islands scattered on turquoise and deep blue water, soft haze",
78,7,"남해, 두 해류가 만드는 세계 최고 밀도",525.00,532.20,7.20,P,찬물을 따라 내려온 물고기랑 따뜻한 물을 타고 올라온 물고기가 한 바다에 섞이는 거예요.,자막 없음,수중 어류 몽타주,"Underwater scene in the South Sea of Korea, a school of silver fish passing rocky reef covered in colorful soft corals and kelp, sunlight rays from above, vibrant marine life",
79,7,"남해, 두 해류가 만드는 세계 최고 밀도",532.20,536.49,4.29,P,한 바다에서 두 기후대의 생물을 동시에 보는 거죠.,"두 기후대, 한 바다","수중 클로즈업, 산호와 해조류","Underwater close-up of a rocky reef where cold-water kelp and warm-water soft coral grow side by side, fish darting between, clear water",
80,7,"남해, 두 해류가 만드는 세계 최고 밀도",536.49,539.22,2.73,P,그래서 이런 결과가 나옵니다.,자막 없음,"수중에서 수면으로 올라오는 카메라, 빛","Underwater view looking up toward the shimmering sunlit surface of the sea, bubbles rising, bright and hopeful",
81,7,"남해, 두 해류가 만드는 세계 최고 밀도",539.22,550.22,11.00,I,"2000년부터 2010년까지 전 세계 과학자 2,700명이 10년 동안 바다 생물을 센 해양생물센서스라는 게 있어요.","해양생물센서스 2000~2010, 과학자 2,700명",세계지도 위 조사 해역 25곳 점등,"World map with twenty five glowing dots marking ocean survey regions, thin connecting lines, scientific data visualization feel",
82,7,"남해, 두 해류가 만드는 세계 최고 밀도",550.22,554.24,4.02,P,인류 역사상 가장 큰 해양 생물 조사예요.,자막 없음,연구원이 표본병 정리하는 실험실,"Marine biology laboratory with rows of glass specimen jars holding preserved sea creatures, a scientist in the background, cool lab lighting",
83,7,"남해, 두 해류가 만드는 세계 최고 밀도",554.24,561.65,7.41,I,조사한 25개 해역 중에서 면적에 비해 사는 생물 종이 가장 많은 바다가 어디였을까요.,어디였을까요?,지도 위 점들이 깜박이며 대기,"The world map with all twenty five survey dots pulsing softly, none highlighted yet, suspense",
84,7,"남해, 두 해류가 만드는 세계 최고 밀도",561.65,567.78,6.13,I,한국이었어요. 좁은 바다에 이렇게 많은 종이 사는 곳이 없었다는 거예요.,면적 대비 생물 종 수 세계 최고,한국 해역만 금색으로 켜짐,"The same world map now dimmed except the seas around the Korean Peninsula glowing bright gold, radiating light",
85,7,"남해, 두 해류가 만드는 세계 최고 밀도",567.78,572.82,5.03,I,"중국, 남아프리카, 발트해, 멕시코만이 그 뒤였어요.","그 뒤: 중국, 남아프리카, 발트해, 멕시코만",2~5위 지역이 은색으로 켜짐,"World map with Korea glowing gold and four other coastal regions lit in soft silver, minimal",
86,8,대국 비교,572.82,582.34,9.52,I,"정리해 볼게요. 깊은 바다, 얕은 바다, 두 해류가 만나는 바다. 이 세 개가 자동차로 반나절 거리 안에 다 있어요.",반나절 거리,한반도 지도 위 세 바다 아이콘과 자동차 경로,"Map of South Korea with three sea icons on each coast connected by a short glowing road line, compact and dense",
